Depth,Age,SporormiellaConc,SporormiellaAccum,SporormiellaPct,SporormiellaCount
956,7731,0,0,0,0
966,8216,911.0555556,911.0555556,0.224215247,1
976,8706,0,0,0,0
986,9180,0,0,0,0
996,9654,0,0,0,0
1006,10108,546.6333333,546.6333333,0.203252033,1
1015,10517,0,0,0,0
1025,11001,0,0,0,0
1035,11492,496.9393939,496.9393939,0.426439232,2
1045,12001,0,0,0,0
1055,12500,381.372093,381.372093,0,0
1065,12984,0,0,0,0
1075,13378,230.971831,230.971831,0.204081633,1
1085,13653,607.3703704,607.3703704,0.541516245,3
1090,13915,315.3653846,315.3653846,0.189035917,1
1091,13981,673.9315068,673.9315068,0.612244898,3
1096,14287,256.234375,256.234375,0.410677618,2
1106,14841,126.1461538,126.1461538,0.162074554,1
1116,15374,199.9878049,199.9878049,0.229357798,1
1126,15903,63.07307692,63.07307692,0.18018018,1
1136,16377,404.9135802,404.9135802,0.480769231,4
1146,16883,640.5859375,640.5859375,1.669449082,20
1161,17645,378.78125,378.78125,2.866779089,17
1165,17838,2216.081081,2216.081081,2.821869489,16
1166,17890,698.5375254,698.5375254,4.143126177,22
1171,18137,297.3319386,297.3319386,2.380952381,13
1181,18655,456.9380805,456.9380805,3.557312253,18
1191,19174,204.4494751,204.4494751,3.861788618,19
1201,19684,222.5334029,222.5334029,2.367941712,13
1211,20200,288.8943005,288.8943005,3.469387755,17
1221,20698,240.1527197,240.1527197,2.783300199,14
1231,21205,329.2971888,329.2971888,4.056795132,20
1241,21705,419.14377,419.14377,3.470715835,16
1251,22194,572.0581395,572.0581395,4.588910134,24