Depth,Age,StronglyCoproConc,TotalFungiConc,StronglyCoproPct,TotalFungiPct
60,11216,0,0,0,0
75,11415,0,0,0,0
105,12009,278.7111111,278.7111111,0.048602673,0.048602673
135,12744,0,0,0,0
165,13223,0,0,0,0
175,14237,223.9642857,223.9642857,0.050658561,0.050658561
195,15292,464.5185185,464.5185185,0.192650388,0.192650388
210,15711,1908.565217,2181.217391,2.539819199,2.902650513
220,15947,964.7692308,964.7692308,1.019854616,1.019854616
255,16551,4800.024691,5264.54321,4.336725772,4.756408911
270,16769,1233.639344,1439.245902,1.821493625,2.125075896
325,17250,1520.242424,2280.363636,2.821869489,4.232804233
340,17339,1106.647059,1106.647059,1.330923431,1.330923431
355,17419,1738.49505,1862.673267,1.954028002,2.093601431
370,17581,886.8080808,1393.555556,0.763871401,1.200369344
385,17812,1034.391753,1292.989691,0.930681551,1.163351939
405,18258,1881.3,2508.4,0.38372093,0.511627907
420,18649,6271,7166.857143,1.296829971,1.482091396
435,18840,2508.4,2508.4,0.669456067,0.669456067
450,18997,570.0909091,712.6136364,0.488758553,0.610948192
465,19172,1835.414634,2141.317073,0.368412076,0.429814088
480,19456,964.7692308,964.7692308,0.64731902,0.64731902
495,19937,578.8615385,578.8615385,0.676667731,0.676667731