Depth,Age,SporormiellaConc,SporormiellaAccum,SporormiellaPct,SporormiellaCount,,,,,,,,,Sporormiella
20,13309,152.9757463,30.59514925,0.64683053,5,,,,,,,,,
30,13360,0,0,0,0,,,,,,,,,
40,13408,0,0,0,0,,,,,,,,,
50,13456,0,0,0,0,,,,,,,,,
60,13505,0,0,0,0,,,,,,,,,
70,13550,117.9784173,29.49460432,0.166389351,1,,,,,,,,,
80,13592,159.9902439,22.85574913,0.833333333,2,,,,,,,,,
90,13669,169.6448276,24.23497537,0.628930818,3,,,,,,,,,
100,13737,41.62182741,6.936971235,0.202020202,1,,,,,,,,,
110,13803,124.9447619,20.82412698,0.776699029,4,,,,,,,,,
120,13865,163.1741294,32.63482587,0.769230769,4,,,,,,,,,
130,13915,87.69518717,17.53903743,0.399201597,2,,,,,,,,,
140,13964,456.4333996,76.07223327,2.345058626,14,,,,,,,,,
150,14015,383.6023392,63.9337232,1.25588697,8,,,,,,,,,
159,14062,437.8373786,87.56747573,1.72143975,11,,,,,,,,,
178,14164,355.6409639,59.27349398,1.408450704,9,,,,,,,,,
195,14255,198.535109,33.08918483,0.782472613,5,,,,,,,,,
288,14760,630.7307692,105.1217949,1.861702128,14,,,,,,,,,
310,14880,1051.217949,210.2435897,0.807754443,5,,,,,,,,,
391,15321,473.3731959,94.67463918,2.118003026,14,,,,,,,,,
416,15459,635.1725352,127.034507,2.92942743,22,,,,,,,,,
447,15624,392.2312073,78.44624146,2.845528455,21,,,,,,,,,
481,15806,325.5384615,65.10769231,2.384500745,16,,,,,,,,,