Depth,Age,StronglyCoproConc,TotalFungiConc,StronglyCoproPct,TotalFungiPct,X,X.1
629,8719,0,0,0,0,NA,*just sporormiella
644,8931,0,0,0,0,NA,
658,9094,0,0,0,0,NA,
672,9285,0,0,0,0,NA,
686,9520,0,0,0,0,NA,
699,9763,0,0,0,0,NA,
716,9905,0,0,0,0,NA,
730,10014,0,0,0,0,NA,
744,10119,530.9714286,530.9714286,0.980392157,0.980392157,NA,
758,10227,1858.4,1858.4,3.482587065,3.482587065,NA,
780,10387,4778.742857,4778.742857,8.910891089,8.910891089,NA,
793,10660,0,0,0,0,NA,
806,11393,265.4857143,265.4857143,0.462962963,0.462962963,NA,
812,11883,265.4857143,265.4857143,0.497512438,0.497512438,NA,
819,12523,0,0,0,0,NA,
832,12836,1858.4,1858.4,3.465346535,3.465346535,NA,
845,12990,3451.314286,3451.314286,6.5,6.5,NA,
857,13181,7699.085714,7699.085714,14.5,14.5,NA,
871,13520,3451.314286,3451.314286,6.5,6.5,NA,
884,13662,2920.342857,2920.342857,5.5,5.5,NA,
897,13716,2654.857143,2654.857143,5,5,NA,
913,13820,7964.571429,7964.571429,14.77832512,14.77832512,NA,
919,13921,1061.942857,1061.942857,1.990049751,1.990049751,NA,
931,14049,265.4857143,265.4857143,1.960784314,1.960784314,NA,
954,14248,3451.314286,3451.314286,6.161137441,6.161137441,NA,
960,14321,2920.342857,2920.342857,5.5,5.5,NA,
974,14432,2654.857143,2654.857143,4.926108374,4.926108374,NA,
987,14542,1592.914286,1592.914286,2.898550725,2.898550725,NA,
1000,14665,0,0,0,0,NA,
1013,14780,929.2,929.2,3.5,3.5,NA,
1036,16260,1725.657143,1725.657143,6.5,6.5,NA,