Depth,Age,StronglyCoproConc,TotalFungiConc,StronglyCoproAccum,TotalFungiAccum,StronglyCoproPct,TotalFungiPct,StronglyCoproCount,TotalFungiCount
600.5,8290,0,2563.172414,0,134.9038114,0,0.439037776,2,2
616.5,8598,0,871.078125,0,43.55390625,0,0.159313725,3,3
632.5,8911,0,0,0,0,0,0,3,3
648.5,9222,1173.663158,2347.326316,58.6831579,117.3663158,0.121515911,0.243031822,1,2
668.5,9621,2322.875,4645.75,122.2565791,244.5131581,0.327510917,0.655021834,0,1
680.5,9864,3982.071429,5973.107143,209.582707,314.3740605,0.289274588,0.433911883,0,3
696.5,10175,838.3308271,838.3308271,41.91654136,41.91654136,0.072361355,0.072361355,0,1
712.5,10492,1760.494737,1760.494737,88.02473685,88.02473685,0.19138756,0.19138756,3,6
736.5,10967,1858.3,1858.3,92.915,92.915,0.179372197,0.179372197,2,3
752.5,11291,364.372549,728.745098,18.21862745,36.4372549,0.092272203,0.184544406,1,2
768.5,11615,0,432.1627907,0,21.60813954,0,0.124879244,3,6
784.5,12078,0,1045.29375,0,33.71915373,0,0.460122699,0,1
800.5,12573,0,357.3653846,0,12.32294443,0,0.109838663,1,1
818.5,13006,899.1774194,1798.354839,56.19858871,112.3971774,0.4176664,0.8353328,5,6
834.5,13270,1051.867925,1577.801887,61.87458339,92.81187506,0.546448087,0.819672131,6,7
850.5,13544,216.0813953,432.1627907,12.71067022,25.42134045,0.147367571,0.294735142,3,4
866.5,13810,2144.192308,4288.384615,126.1289584,252.2579168,0.56561086,1.131221719,4,4
882.5,14078,0,389.8531469,0,25.99020992,0,0.288536678,1,1
898.5,14316,633.5113636,633.5113636,35.19507604,35.19507604,0.364431487,0.364431487,1,1
914.5,14590,2034.635036,2441.562044,113.0352807,135.6423369,0.837072256,1.004486707,1,1
930.5,14860,3247.514563,3788.76699,202.9696602,236.7979369,1.447892699,1.689208149,1,1
946.5,15119,605.9673913,807.9565217,40.39782629,53.86376838,1.435662227,1.914216302,1,1
962.5,15369,1319.502959,1319.502959,87.96686437,87.96686437,2.460205017,3.280273356,0,0
978.5,15618,476.4871795,476.4871795,31.76581213,31.76581213,0,0.81387539,3,3
994.5,15867,273.2794118,273.2794118,18.21862754,18.21862754,0,0.648193162,2,2
1010.5,16110,832.0746269,832.0746269,55.47164207,55.47164207,1.45137881,1.45137881,1,2
1026.5,16353,605.9673913,605.9673913,37.87296196,37.87296196,2.054975552,2.054975552,2,2
1042.5,16595,290.359375,290.359375,19.35729176,19.35729176,0.539946483,0.539946483,5,5
1058.5,16836,0,0,0,0,0,0,0,0
1074.5,17083,1211.934783,1211.934783,80.7956526,80.7956526,0.708093442,0.708093442,3,3
1090.5,17330,589.9365079,589.9365079,34.70214728,34.70214728,0.671973372,0.671973372,4,4
1106.5,17598,201.9891304,403.9782609,11.22161845,22.4432369,0.26173174,0.523463481,0,1
1122.5,17868,728.745098,728.745098,42.86735841,42.86735841,1.422472327,1.422472327,0,4
1138.5,18091,1028.579336,1028.579336,93.50721246,93.50721246,1.769711575,1.769711575,2,4
1154.5,18266,0,0,0,0,0,0,0,0
1170.5,18443,677.1133603,677.1133603,61.55576009,61.55576009,1.482814348,1.482814348,2,4
1186.5,18640,1676.661654,1676.661654,104.7913534,104.7913534,2.617731231,2.617731231,4,6