Depth,Age,Ascodesmis,Apiosordaria,Arnium,Bombardiodea,Cercophora,Chaetomium,Coniochaeta,Delitschia,Hypocopra,Podospora,Sordaria,Sporormiella,Trichodelitschia,Tracer(AP),Tracer,Proportion of Lyco,PollenSum,PollenSum(AP),TracerAdded,StronglyCoproCount,TotalFungiCount,
696.5,8249.3,0,0,0,0,0,0,0,0,0,0,0,2,0,133,16,8.3125,332.5,2763.90625,55749,2,2,
712.5,8404.2,0,0,0,0,0,0,0,0,0,0,1,2,0,95,21,4.523809524,346.5,1567.5,55749,3,3,
736.5,8767.2,1,0,0,0,0,0,0,0,0,1,0,0,1,90,18,5,334.5,1672.5,55749,3,3,
752.5,9132.45,0,0,0,0,0,0,1,0,0,0,1,0,0,153,48,3.1875,340,1083.75,55749,1,2,"Ascodesmis, Arnium, Bombardiodea, delitschia, podospora, sordaria, sporormiella, trichodelischia"
768.5,9419.8,0,0,0,0,0,0,1,0,0,0,0,0,0,129,53,2.433962264,329,800.7735849,55749,0,1,
784.5,9532.5,0,0,0,0,0,0,3,0,0,0,0,0,0,160,80,2,326,652,55749,0,3,
800.5,9883.85,0,0,0,0,0,0,1,0,0,0,0,0,0,156,61,2.557377049,356,910.4262295,55749,0,1,
818.5,10368.6,0,0,0,0,2,0,1,1,0,0,1,1,0,186,94,1.978723404,363,718.2765957,55749,3,6,
834.5,10811.75,0,1,0,0,0,0,0,0,0,1,0,1,0,106,106,1,366,366,55749,2,3,
850.5,11082.8,0,0,0,0,0,0,1,0,0,0,1,0,0,258,146,1.767123288,384,678.5753425,55749,1,2,
866.5,11456.95,0,0,0,0,2,0,1,0,0,2,0,1,0,78,55,1.418181818,374,530.4,55749,3,6,
882.5,11906.05,0,0,0,0,0,1,0,0,0,0,0,0,0,143,144,0.993055556,349,346.5763889,55749,0,1,
898.5,12374.15,0,0,0,0,0,0,0,0,0,0,1,0,0,88,110,0.8,343,274.4,55749,1,1,
914.5,13286.25,0,0,0,0,0,0,1,0,0,1,4,0,0,137,75,1.826666667,327,597.32,55749,5,6,
930.5,13540.35,1,0,0,0,0,0,1,0,0,2,2,1,0,103,86,1.197674419,346,414.3953488,55749,6,7,
946.5,13734.7,0,0,0,0,0,0,1,0,0,1,0,2,0,276,457,0.603938731,346,208.9628009,55749,3,4,
962.5,13905.45,1,0,1,0,0,0,0,0,0,1,0,1,0,169,492,0.343495935,355,121.9410569,55749,4,4,
978.5,14029.25,0,0,1,0,0,0,0,0,0,0,0,0,0,117,309,0.378640777,324.5,122.868932,55749,1,1,
994.5,14703.15,0,0,1,0,0,0,0,0,0,0,0,0,0,204,480,0.425,363,154.275,55749,1,1,
1010.5,15148.3,0,0,0,0,0,0,0,0,0,0,1,0,0,67,335,0.2,344.5,68.9,55749,1,1,
1026.5,15501.05,0,0,0,0,0,0,0,0,0,0,1,0,0,92,622,0.147909968,329,48.66237942,55749,1,1,
1042.5,15788.65,0,0,0,0,0,0,0,0,0,1,0,0,0,192,339,0.566371681,327,185.2035398,55749,1,1,
1058.5,16011.1,0,0,0,0,0,0,0,0,0,0,0,0,0,250,440,0.568181818,313,177.8409091,55749,0,0,
1074.5,16171.3,0,0,0,0,0,0,0,1,0,0,2,0,0,138,107,1.289719626,328.5,423.6728972,55749,3,3,
1090.5,16490.3,0,0,0,0,0,0,0,0,0,1,1,0,0,189,214,0.88317757,337,297.6308411,55749,2,2,
1106.5,16710.35,0,0,0,0,0,0,1,0,0,0,0,1,0,276,255,1.082352941,353,382.0705882,55749,1,2,
1122.5,16853.55,0,0,0,0,0,0,0,0,0,0,0,2,0,153,364,0.42032967,334.5,140.6002747,55749,2,2,
1138.5,17012.5,1,0,0,0,0,0,0,0,0,1,1,2,0,271,329,0.823708207,343,282.5319149,55749,5,5,
1154.5,17120.3,0,0,0,0,0,0,0,0,0,0,0,0,0,184,362,0.508287293,326,165.7016575,55749,0,0,
1170.5,17256.55,0,0,0,0,0,0,0,0,0,0,0,3,0,247,445,0.55505618,364.5,202.3179775,55749,3,3,
1186.5,17456.4,2,0,0,0,0,0,0,0,0,0,0,2,0,133,319,0.4169279,366.5,152.8040752,55749,4,4,
616.5,17635.3,0,0,0,0,0,0,1,0,0,0,0,0,0,64,39,1.641025641,382.5,627.6923077,55749,0,1,
600.5,17726.2,0,0,0,0,0,0,4,0,0,0,0,0,0,87,36,2.416666667,377,911.0833333,55749,0,4,
648.5,18087.5,1,0,0,0,0,0,2,0,0,0,0,0,1,95,20,4.75,346.5,1645.875,55749,2,4,
632.5,18269.45,0,0,0,0,0,0,0,0,0,0,0,0,0,59,39,1.512820513,373.5,565.0384615,55749,0,0,
668.5,18451.2,0,0,0,0,0,0,2,0,0,1,0,1,0,48,27,1.777777778,343.5,610.6666667,55749,2,4,
680.5,18631.1,1,0,0,0,0,0,2,0,0,2,0,1,0,56,13,4.307692308,321,1382.769231,55749,4,6,